feature,score
n1,17990
n9,17849
n2,17803
n4,17734
n3,16828
n5,16524
n6,16431
n7,15034
n8,14924
n0,13674
f1927,8912
f3857,8071
f3697,7595
f2145,7397
f3953,7279
f3206,6926
f3688,6889
f5293,6637
f1959,6561
f3017,6547
f59,6426
f1326,6382
f3698,6341
f6238,6311
f3163,6105
f3158,6094
f2397,6086
f4727,6069
f5262,6011
f5526,5988
f5948,5984
f911,5977
f4557,5947
f4878,5905
f6264,5857
f6511,5824
f740,5669
f5026,5661
f245,5650
f3816,5642
f4093,5639
f1944,5632
f2083,5567
f5926,5553
f5893,5545
f4983,5542
f87,5525
f1059,5494
f4730,5472
f5849,5436
f1855,5430
f1413,5392
f1448,5372
f2986,5367
f906,5366
f754,5366
f5719,5348
f2338,5334
f4109,5332
f6711,5327
f5976,5302
f1460,5280
f5050,5255
f2936,5245
f5042,5225
f4982,5213
f6323,5198
f2413,5191
f3147,5191
f621,5191
f502,5186
f4468,5181
f2322,5179
f5009,5168
f1914,5165
f4041,5163
f1880,5149
f4869,5144
f790,5102
f4198,5083
f4387,5079
f5235,5074
f6466,5070
f4015,5068
f1937,5042
f150,5036
f455,5034
f827,5024
f5038,5022
f3139,5003
f4771,5003
f5635,5002
f6500,5001
f3722,4997
f1585,4997
f973,4986
f283,4983
f1169,4983
f4325,4965
f2899,4935
f3460,4929
f4371,4912
f3265,4910
f145,4908
f6114,4887
f4881,4882
f3789,4866
f3810,4866
f1093,4859
f1619,4857
f6336,4837
f3344,4821
f1710,4813
f3013,4790
f5955,4788
f2873,4781
f4950,4770
f5343,4769
f1140,4763
f1336,4753
f2742,4751
f4133,4751
f5005,4745
f4204,4744
f4985,4740
f3812,4713
f1613,4691
f1909,4668
f2150,4656
f3820,4642
f657,4636
f4536,4635
f2458,4622
f1154,4620
f2079,4596
f1662,4583
f4577,4581
f1274,4554
f3477,4547
f1207,4546
f3196,4545
f1481,4520
f2864,4514
f2546,4506
f5325,4496
f3804,4483
f4504,4470
f3771,4467
f1997,4461
f3914,4460
f463,4450
f201,4448
f2471,4447
f2456,4437
f4241,4433
f3923,4432
f1228,4431
f4992,4426
f3392,4414
f6154,4407
f5260,4402
f1403,4401
f6108,4394
f395,4392
f3520,4388
f4372,4387
f382,4375
f3041,4373
f5411,4367
f5870,4353
f1223,4351
f6512,4348
f1487,4341
f4265,4339
f307,4339
f4299,4338
f2396,4333
f1452,4324
f910,4323
f4935,4305
f2074,4304
f828,4304
f4176,4298
f671,4294
f523,4286
f2902,4283
f6331,4276
f2645,4267
f4295,4259
f4242,4245
f5815,4236
f1663,4232
f5536,4229
f5642,4226
f2389,4223
f1031,4218
f429,4210
f4437,4200
f5839,4198
f4456,4193
f4221,4189
f4782,4175
f4964,4174
f2817,4170
f4116,4168
f6322,4166
f5770,4165
f5103,4161
f4814,4159
f4047,4154
f3714,4135
f2965,4120
f1725,4114
f734,4114
f3525,4109
f1386,4108
f5044,4103
f100,4101
f390,4096
f1983,4095
f5278,4078
f4937,4077
f6528,4074
f1373,4064
f3085,4059
f676,4056
f588,4053
f2271,4049
f2451,4048
f882,4039
f1670,4031
f1167,4016
f5854,4006
f3597,3998
f2007,3995
f678,3992
f4901,3981
f1900,3973
f2521,3972
f159,3958
f4866,3958
f2958,3954
f2475,3950
f2095,3939
f41,3938
f6551,3938
f5745,3935
f6022,3918
f4883,3918
f839,3916
f1693,3916
f4617,3911
f2937,3911
f5709,3906
f1838,3903
f1713,3892
f1906,3889
f309,3886
f3732,3876
f6515,3875
f314,3874
f5359,3874
f6379,3871
f5880,3870
f1255,3861
f3587,3854
f5980,3854
f3313,3852
f2869,3844
f2614,3834
f5033,3832
f1150,3827
f2631,3822
f1388,3808
f3267,3807
f1618,3799
f5908,3797
f3290,3796
f1261,3795
f1875,3790
f1950,3785
f341,3785
f360,3783
f3829,3771
f6453,3769
f4661,3768
f557,3768
f1276,3767
f5845,3765
f5226,3765
f6305,3750
f1137,3744
f1751,3743
f5086,3741
f673,3734
f4376,3733
f2111,3732
f2241,3732
f5866,3727
f1594,3724
f1033,3724
f1527,3719
f2627,3718
f2933,3715
f4044,3713
f1038,3707
f6301,3702
f5600,3693
f923,3681
f4114,3680
f4031,3679
f1185,3676
f3841,3671
f3014,3670
f5145,3666
f4684,3666
f2462,3662
f2793,3657
f1821,3656
f1584,3654
f5167,3651
f5096,3650
f6298,3646
f5883,3645
f1369,3644
f2898,3643
f223,3643
f119,3641
f5604,3638
f4969,3628
f5503,3627
f4497,3623
f352,3615
